date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.0464711911936392,0.1857356620338336
1973-02-01,1.075493276125443,-0.0572091670919745,0.1821630261878734
1973-03-01,1.0299678416836435,-0.1488825284746435,0.1534317723927945
1973-04-01,0.9827458103604768,-0.2095497046745786,0.1361649212420782
1973-05-01,1.0464935117518377,-0.0832026923497681,0.1736940513821293
1973-06-01,1.185925775964177,0.0365577055947285,0.2148043986334283
1973-07-01,0.9810549739577188,-0.3462260544491965,0.1022777567320833
1973-08-01,0.9777605050840716,-0.2133403657182571,0.1351320319251109
1973-09-01,0.8188236781169651,-0.3530191636674176,0.1007699598725596
1973-10-01,1.273250254171703,0.1190951911349247,0.2461622210670637
1973-11-01,1.3537449558224253,0.0532082790477357,0.2209367614979715
1973-12-01,1.295969416847959,-0.0067502153335652,0.1993250838639602
1974-01-01,1.1784210232542267,-0.0376428769783825,0.1887052575736619
1974-02-01,1.3067144792396042,0.1639450517629146,0.2641790015415655
1974-03-01,1.220038714401003,-0.099111682610337,0.1686363735018498
1974-04-01,1.2539698576113811,0.0930735374091247,0.2360191575780864
1974-05-01,1.3012385977617122,0.1002465634709608,0.2387919465757721
1974-06-01,1.9017877205835207,0.7568877511560961,0.544266267170765
1974-07-01,2.568696915547139,1.261659692508558,0.7711376536766026
1974-08-01,2.1264243722076457,0.944567009557386,0.635310849527832
1974-09-01,2.381902491150801,0.9969731769694716,0.6596494712400862
1974-10-01,2.5524795103497766,1.1085162672597586,0.709194843503517
1974-11-01,2.356853811556149,1.089891341071393,0.701158870039953
1974-12-01,2.661212477979876,1.2207796547555811,0.7553625321168114
1975-01-01,1.7337713333806513,0.3890224826372208,0.3635563414715467
1975-02-01,1.649526368358294,0.4127719077658203,0.3747642636088135
1975-03-01,1.8961250416029105,0.6014610329020169,0.4668331460421684
1975-04-01,1.5567123308218438,0.2339301391863579,0.2935747715060015
1975-05-01,1.606921254453593,0.3602359704655071,0.3501270645506297
1975-06-01,1.461922207470538,0.2551144742151616,0.3027623277849201
1975-07-01,1.4884824580177884,0.385545055775607,0.361924755460183
1975-08-01,1.300847928813233,0.1273157856513533,0.2494144731910269
1975-09-01,1.4186685311342824,0.3035342702973371,0.3242292671064261
1975-10-01,1.3607284327062037,0.1116926254917647,0.2432531737663547
1975-11-01,1.329823154039846,0.1829163668879929,0.2719972605990252
1975-12-01,1.2541786335635057,-0.0405162896891959,0.1877355258604041
1976-01-01,0.9979908878131896,-0.1652190552913156,0.1486454615525955
1976-02-01,1.0617339891598505,-0.0837255823483225,0.173526299198488
1976-03-01,1.011120581271097,-0.1250022281041358,0.1606100006960859
1976-04-01,1.0521076518505803,-0.0672246095907762,0.1788697805987475
1976-05-01,1.0237351420087335,-0.1275848217161137,0.1598232816483615
1976-06-01,1.0197788832302777,-0.0521954847709009,0.1838257525578976
1976-07-01,0.9837099912897176,-0.0906332015330851,0.1713198994933976
1976-08-01,0.9120648551648856,-0.1709433664752732,0.1469922122299679
1976-09-01,0.8550532640032931,-0.2075102328163844,0.1367228717933775
1976-10-01,0.9219118941699904,-0.1451612187460986,0.1545361692016481
1976-11-01,0.8555867249993262,-0.3741194456196465,0.0961900223342552
1976-12-01,1.1083337127370156,-0.0463374376785654,0.185780435543349
1977-01-01,0.9877198594648672,-0.3398720689045837,0.1037028765991119
1977-02-01,0.9379016261616826,-0.2092493818608001,0.1362469843731634
1977-03-01,0.9231957678701688,-0.176903500704126,0.145284006014511
1977-04-01,0.8633616214622896,-0.246074783376739,0.1264359453072926
1977-05-01,0.8099849739276472,-0.2481479294122823,0.1258986395873177
1977-06-01,0.8512871905637213,-0.2608162285273659,0.1226499416400984
1977-07-01,0.8767822191117481,-0.1779666024741403,0.1449807246549672
1977-08-01,0.9251361350888264,-0.1877452918698073,0.1422110577958537
1977-09-01,0.9449811605505964,-0.1359741016215964,0.1572851334499345
1977-10-01,0.9310095841986334,-0.1512345111220088,0.1527364624044482
1977-11-01,0.9339801709741394,-0.1346159771205352,0.1576942217012347
1977-12-01,0.7853049470875838,-0.3375051539943358,0.104237412189725
1978-01-01,0.7587030375251503,-0.3345805779937284,0.1049006426904003
1978-02-01,0.7141317271766402,-0.3393017419050591,0.1038314949797494
1978-03-01,0.7198637386015848,-0.3372330676811484,0.1042989869389159
1978-04-01,0.7353117681645004,-0.2852371316088612,0.1165543497711121
1978-05-01,0.7776714269052935,-0.2459754294954804,0.1264617353144142
1978-06-01,0.6222007182807374,-0.4582951735541793,0.0794376056344214
1978-07-01,0.6187085690170846,-0.3714760251974585,0.0967552601969661
1978-08-01,0.5981373777490661,-0.3950046734503113,0.091809301501673
1978-09-01,0.6381015099065186,-0.317766931585657,0.1087729360244641
1978-10-01,0.5641497987359325,-0.4925867162710746,0.0732842695352074
1978-11-01,0.6759448970423942,-0.2336050536938644,0.1297014754097882
1978-12-01,0.6532541104105585,-0.3756091175269906,0.0958725597961306
1979-01-01,0.702604369050579,-0.248450624780199,0.1258203222150527
1979-02-01,0.6671887115386741,-0.3098571054810287,0.1106297538337231
1979-03-01,0.658788911062305,-0.1671162832400571,0.1480961477668223
1979-04-01,0.6687966878187225,-0.2036596496683845,0.1377805554448031
1979-05-01,0.7217913940558555,-0.236817652167227,0.1288546379242794
1979-06-01,0.7660561848487495,-0.1447661565268116,0.1546537220842994
1979-07-01,0.6711907137257954,-0.2354049240120382,0.1292265579215158
1979-08-01,0.6016968629727698,-0.3175107532735116,0.108832720116852
1979-09-01,0.7589592705917176,-0.0782597244899238,0.1752849356691633
1979-10-01,0.8097016210920253,-0.6314995087788412,0.0520255785608937
1979-11-01,0.9268355130497898,0.0137302690333711,0.2065599224515526
1979-12-01,0.9386543194854636,0.226354157166617,0.2903207258472799
1980-01-01,0.8763089833017584,-0.0071750986703482,0.1991766254533921
1980-02-01,1.016067906224119,-0.3058814653811399,0.1115715602488364
1980-03-01,1.0779462855935016,0.3621665772843365,0.3510220982441434
1980-04-01,1.306321372138604,-0.3212140496111999,0.1079707811316131
1980-05-01,1.1979530040650532,0.1424619030533302,0.2554659122103445
1980-06-01,1.204192091752856,0.0162256218498053,0.2074519266321527
1980-07-01,1.2144844853760512,0.2319606064961035,0.2927271921417671
1980-08-01,1.0731475421908905,0.093253917922501,0.2360886669139159
1980-09-01,1.0790368515085909,0.0630722109872199,0.2246163947046448
1980-10-01,0.947510899515386,-0.0973800434513466,0.169182247810714
1980-11-01,1.0484299435797464,0.3738728432642029,0.356466703892023
1980-12-01,1.201437964383504,0.1667654779746048,0.2653340423915264
1981-01-01,1.1489316395602571,0.4484161737340786,0.3917832484747226
1981-02-01,0.9982558088979854,0.208363436217143,0.2826617795722246
1981-03-01,0.9991969633732846,0.071314758472307,0.2277176698319557
1981-04-01,1.188618422246655,0.5760155176753293,0.4541978496692745
1981-05-01,1.251470971544342,0.4103645208211831,0.3736231467124035
1981-06-01,1.179596752082935,0.4985982827848011,0.4160916282372379
1981-07-01,1.1739456995586088,0.4806693911177723,0.4073646877557692
1981-08-01,1.08259468139171,0.3246878343827667,0.3338000621438498
1981-09-01,1.231564533964261,0.4541196360607135,0.3945267459008368
1981-10-01,1.3323218953955485,0.5715312099994947,0.4519755376057828
