date,close,adjclose
1999-01-04,33.59375,15.848228454589844
1999-01-05,34.28125,16.172563552856445
1999-01-06,35.125,16.570621490478516
1999-01-07,34.71875,16.37895393371582
1999-01-08,34.0,16.039888381958008
1999-01-11,33.03125,15.582866668701172
1999-01-12,32.71875,15.435444831848145
1999-01-13,32.59375,15.376474380493164
1999-01-14,31.75,14.978422164916992
1999-01-15,32.40625,15.288021087646484
1999-01-19,32.0625,15.125852584838867
1999-01-20,31.71875,14.96368408203125
1999-01-21,30.78125,14.521404266357422
1999-01-22,30.4375,14.359236717224121
1999-01-25,31.46875,14.84573745727539
1999-01-26,31.28125,14.75728988647461
1999-01-27,31.96875,15.081618309020996
1999-01-28,32.5625,15.361726760864258
1999-01-29,32.65625,15.405960083007812
1999-02-01,32.0,15.09636116027832
1999-02-02,32.625,15.391213417053223
1999-02-03,32.25,15.214308738708496
1999-02-04,31.78125,14.993165016174316
1999-02-05,31.03125,14.63934326171875
1999-02-08,30.75,14.50666618347168
1999-02-09,30.96875,14.60986042022705
1999-02-10,31.8125,15.007909774780273
1999-02-11,32.1875,15.18481731414795
1999-02-12,31.9375,15.066879272460938
1999-02-16,32.4375,15.302763938903809
1999-02-17,32.15625,15.170082092285156
1999-02-18,32.3125,15.243796348571777
1999-02-19,32.875,15.509154319763184
1999-02-22,32.21875,15.199559211730957
1999-02-23,31.375,14.801511764526367
1999-02-24,31.40625,14.816254615783691
1999-02-25,32.125,15.1553373336792
1999-02-26,31.9375,15.066879272460938
1999-03-01,31.84375,15.0226469039917
1999-03-02,31.0625,14.654085159301758
1999-03-03,30.8125,14.53614616394043
1999-03-04,31.46875,14.84573745727539
1999-03-05,31.96875,15.081618309020996
1999-03-08,32.0,15.09636116027832
1999-03-09,31.5,14.860482215881348
1999-03-10,31.4375,14.831000328063965
1999-03-11,33.1875,15.696524620056152
1999-03-12,34.71875,16.42074966430664
1999-03-15,34.34375,16.243385314941406
1999-03-16,34.34375,16.243385314941406
1999-03-17,33.40625,15.799986839294434
1999-03-18,34.125,16.139930725097656
1999-03-19,33.75,15.962568283081055
1999-03-22,33.84375,16.00690269470215
1999-03-23,32.9375,15.578286170959473
1999-03-24,32.6875,15.460040092468262
1999-03-25,32.9375,15.578286170959473
1999-03-26,32.65625,15.445256233215332
1999-03-29,32.40625,15.327021598815918
1999-03-30,31.625,14.95750904083252
1999-03-31,30.6875,14.514116287231445
1999-04-01,30.46875,14.410658836364746
1999-04-05,30.25,14.307188034057617
1999-04-06,29.90625,14.144610404968262
1999-04-07,29.46875,13.937684059143066
1999-04-08,30.4375,14.395867347717285
1999-04-09,30.375,14.366312026977539
1999-04-12,30.9375,14.63234806060791
1999-04-13,31.65625,14.97229290008545
1999-04-14,31.71875,15.001855850219727
1999-04-15,32.125,15.193992614746094
1999-04-16,32.84375,15.533942222595215
1999-04-19,32.46875,15.35658073425293
1999-04-20,32.625,15.430477142333984
1999-04-21,33.78125,15.977352142333984
1999-04-22,33.25,15.726096153259277
1999-04-23,33.25,15.726096153259277
1999-04-26,33.5625,15.873887062072754
1999-04-27,34.71875,16.42074966430664
1999-04-28,33.96875,16.06601905822754
1999-04-29,33.90625,16.03647232055664
1999-04-30,34.03125,16.09558868408203
1999-05-03,34.5,16.31728744506836
1999-05-04,34.34375,16.243385314941406
1999-05-05,35.25,16.672014236450195
1999-05-06,34.5625,16.346851348876953
1999-05-07,33.875,16.021692276000977
1999-05-10,33.53125,15.859107971191406
1999-05-11,33.46875,15.829547882080078
1999-05-12,33.21875,15.711296081542969
1999-05-13,32.875,15.548723220825195
1999-05-14,32.625,15.430477142333984
1999-05-17,33.5625,15.873887062072754
1999-05-18,34.375,16.25816535949707
1999-05-19,34.21875,16.184261322021484
1999-05-20,33.96875,16.06601905822754
1999-05-21,34.0,16.08079719543457
1999-05-24,33.40625,15.799986839294434
1999-05-25,33.5,15.844321250915527
1999-05-26,34.25,16.199054718017578
1999-05-27,34.0625,16.110370635986328
1999-05-28,34.25,16.199054718017578
1999-06-01,34.5625,16.346851348876953
1999-06-02,34.3125,16.228609085083008
1999-06-03,34.40625,16.272953033447266
1999-06-04,34.875,16.49464988708496
1999-06-07,33.875,16.021692276000977
1999-06-08,33.875,16.021692276000977
1999-06-09,33.5,15.844321250915527
1999-06-10,33.0625,15.637413024902344
1999-06-11,32.21875,15.27530288696289
1999-06-14,32.40625,15.36419677734375
1999-06-15,31.875,15.112319946289062
1999-06-16,31.9375,15.14195442199707
1999-06-17,32.28125,15.304931640625
1999-06-18,31.71875,15.038238525390625
1999-06-21,30.78125,14.593751907348633
1999-06-22,31.3125,14.845641136169434
1999-06-23,30.875,14.638208389282227
1999-06-24,31.3125,14.845641136169434
1999-06-25,30.9375,14.667841911315918
1999-06-28,30.53125,14.475235939025879
1999-06-29,30.59375,14.50486946105957
1999-06-30,31.0,14.697479248046875
1999-07-01,32.4375,15.379008293151855
1999-07-02,32.40625,15.36419677734375
1999-07-06,31.8125,15.082687377929688
1999-07-07,31.5,14.934531211853027
1999-07-08,31.5625,14.964165687561035
1999-07-09,31.8125,15.082687377929688
1999-07-12,31.53125,14.949350357055664
1999-07-13,31.21875,14.801180839538574
1999-07-14,30.9375,14.667841911315918
1999-07-15,32.0,15.171586990356445
1999-07-16,32.5,15.408641815185547
1999-07-19,31.59375,14.978985786437988
1999-07-20,31.46875,14.919716835021973
1999-07-21,31.3125,14.845641136169434
1999-07-22,31.5625,14.964165687561035
1999-07-23,31.125,14.756738662719727
1999-07-26,31.53125,14.949350357055664
1999-07-27,31.25,14.816007614135742
1999-07-28,30.6875,14.549315452575684
1999-07-29,30.75,14.578943252563477
1999-07-30,30.28125,14.356710433959961
1999-08-02,30.03125,14.238181114196777
1999-08-03,30.40625,14.415975570678711
1999-08-04,30.0625,14.252988815307617
1999-08-05,30.4375,14.430781364440918
1999-08-06,29.625,14.045574188232422
1999-08-09,29.875,14.164093971252441
1999-08-10,29.90625,14.178919792175293
1999-08-11,29.71875,14.090019226074219
1999-08-12,30.0625,14.252988815307617
1999-08-13,29.90625,14.178919792175293
1999-08-16,29.6875,14.075201034545898
1999-08-17,30.0625,14.252988815307617
1999-08-18,29.25,13.867779731750488
1999-08-19,29.03125,13.764065742492676
1999-08-20,29.40625,13.94186782836914
1999-08-23,29.40625,13.94186782836914
1999-08-24,29.625,14.045574188232422
1999-08-25,30.65625,14.534506797790527
1999-08-26,30.78125,14.593751907348633
1999-08-27,31.03125,14.712292671203613
1999-08-30,30.4375,14.430781364440918
1999-08-31,29.90625,14.178919792175293
1999-09-01,30.0,14.223362922668457
1999-09-02,29.75,14.104838371276855
1999-09-03,28.6875,13.601097106933594
1999-09-07,27.3125,12.949182510375977
1999-09-08,27.625,13.097343444824219
1999-09-09,27.5,13.038082122802734
1999-09-10,27.5625,13.067717552185059
1999-09-13,27.6875,13.165191650390625
1999-09-14,27.375,13.016595840454102
1999-09-15,27.03125,12.853144645690918
1999-09-16,27.03125,12.853144645690918
1999-09-17,27.0,12.838288307189941
1999-09-20,27.125,12.897727012634277
1999-09-21,26.875,12.778861045837402
1999-09-22,26.21875,12.466812133789062
1999-09-23,25.46875,12.11019229888916
1999-09-24,25.5625,12.154767990112305
1999-09-27,25.5,12.125048637390137
1999-09-28,25.375,12.065617561340332
1999-09-29,24.4375,11.619843482971191
1999-09-30,24.125,11.47125244140625
1999-10-01,24.53125,11.664420127868652
1999-10-04,23.78125,11.3077974319458
1999-10-05,23.96875,11.396952629089355
1999-10-06,25.96875,12.347940444946289
1999-10-07,26.0,12.362799644470215
1999-10-08,26.53125,12.615410804748535
1999-10-11,26.1875,12.451953887939453
1999-10-12,25.28125,12.021039962768555
1999-10-13,24.84375,11.813011169433594
1999-10-14,25.28125,12.021039962768555
1999-10-15,24.96875,11.872444152832031
1999-10-18,25.5,12.125048637390137
1999-10-19,26.40625,12.5559663772583
1999-10-20,26.375,12.54110336303711
1999-10-21,27.15625,12.912590980529785
1999-10-22,27.625,13.135470390319824
1999-10-25,28.15625,13.388082504272461
1999-10-26,27.75,13.194912910461426
1999-10-27,28.46875,13.536672592163086
1999-10-28,29.40625,13.982444763183594
1999-10-29,29.5,14.02702522277832
1999-11-01,29.5,14.02702522277832
1999-11-02,28.875,13.72983169555664
1999-11-03,28.4375,13.521810531616211
1999-11-04,28.34375,13.477227210998535
1999-11-05,29.0625,13.818991661071777
1999-11-08,29.40625,13.982444763183594
1999-11-09,28.84375,13.714981079101562
1999-11-10,28.9375,13.75955867767334
1999-11-11,28.375,13.492093086242676
1999-11-12,28.75,13.670403480529785
1999-11-15,29.125,13.848705291748047
1999-11-16,29.625,14.086457252502441
1999-11-17,29.96875,14.249905586242676
1999-11-18,30.21875,14.368785858154297
1999-11-19,30.25,14.383635520935059
1999-11-22,32.6875,15.54265308380127
1999-11-23,33.34375,15.854700088500977
1999-11-24,33.96875,16.151872634887695
1999-11-26,33.28125,15.824980735778809
1999-11-29,33.53125,15.982270240783691
1999-11-30,33.65625,16.041854858398438
1999-12-01,34.09375,16.2503719329834
1999-12-02,33.71875,16.071636199951172
1999-12-03,34.15625,16.28016471862793
1999-12-06,32.3046875,15.397644996643066
1999-12-07,29.5,14.060818672180176
1999-12-08,30.0,14.2991361618042
1999-12-09,31.0625,14.805562973022461
1999-12-10,31.625,15.073677062988281
1999-12-13,31.0,14.775781631469727
1999-12-14,30.625,14.597038269042969
1999-12-15,29.9375,14.269343376159668
1999-12-16,29.25,13.941662788391113
1999-12-17,29.875,14.239556312561035
1999-12-20,29.78125,14.194876670837402
1999-12-21,29.21875,13.926770210266113
1999-12-22,29.25,13.941662788391113
1999-12-23,29.625,14.120394706726074
1999-12-27,29.75,14.17997932434082
1999-12-28,29.5625,14.090611457824707
1999-12-29,29.46875,14.045927047729492
1999-12-30,29.21875,13.926770210266113
1999-12-31,29.125,13.882076263427734
2000-01-03,28.1875,13.435230255126953
2000-01-04,28.21875,13.45012092590332
2000-01-05,28.46875,13.569279670715332
2000-01-06,28.5,13.584178924560547
2000-01-07,30.375,14.47787857055664
2000-01-10,29.40625,14.016132354736328
2000-01-11,30.40625,14.492770195007324
2000-01-12,30.75,14.6566162109375
2000-01-13,30.28125,14.433191299438477
2000-01-14,30.53125,14.552358627319336
2000-01-18,32.5,15.490737915039062
2000-01-19,32.625,15.550320625305176
2000-01-20,32.9375,15.699268341064453
2000-01-21,33.4375,15.937581062316895
2000-01-24,32.4375,15.460947036743164
2000-01-25,32.9375,15.699268341064453
2000-01-26,31.53125,15.0289945602417
2000-01-27,29.75,14.17997932434082
2000-01-28,28.46875,13.569279670715332
2000-01-31,28.71875,13.688450813293457
2000-02-01,29.0625,13.852287292480469
2000-02-02,28.1875,13.435230255126953
2000-02-03,27.625,13.167123794555664
2000-02-04,28.125,13.405439376831055
2000-02-07,28.4375,13.554390907287598
2000-02-08,28.59375,13.628857612609863
2000-02-09,28.5,13.584178924560547
2000-02-10,28.34375,13.509708404541016
2000-02-11,27.78125,13.241599082946777
2000-02-14,27.0625,12.899016380310059
2000-02-15,27.84375,13.27138900756836
2000-02-16,26.78125,12.764959335327148
2000-02-17,26.15625,12.467062950134277
2000-02-18,25.6875,12.243635177612305
2000-02-22,25.875,12.333009719848633
2000-02-23,25.625,12.213849067687988
2000-02-24,24.90625,11.87126636505127
2000-02-25,24.34375,11.603157997131348
2000-02-28,24.65625,11.75210189819336
2000-02-29,24.3125,11.588262557983398
2000-03-01,25.5,12.154265403747559
2000-03-02,24.8125,11.826580047607422
2000-03-03,25.0625,11.94573974609375
2000-03-06,24.5,11.677626609802246
2000-03-07,23.5625,11.230779647827148
2000-03-08,23.75,11.320147514343262
2000-03-09,23.375,11.141411781311035
2000-03-10,22.75,10.843517303466797
2000-03-13,21.875,10.465559005737305
2000-03-14,21.65625,10.360898971557617
2000-03-15,23.78125,11.377556800842285
2000-03-16,24.875,11.900833129882812
2000-03-17,24.5625,11.751326560974121
2000-03-20,24.28125,11.616766929626465
2000-03-21,24.71875,11.82608413696289
2000-03-22,23.53125,11.257950782775879
2000-03-23,23.5,11.243000984191895
2000-03-24,23.5,11.243000984191895
2000-03-27,22.625,10.824378967285156
2000-03-28,22.4375,10.734667778015137
2000-03-29,23.4375,11.213098526000977
2000-03-30,24.28125,11.616766929626465
2000-03-31,23.46875,11.228045463562012
2000-04-03,24.65625,11.796175003051758
2000-04-04,26.1875,12.528767585754395
2000-04-05,23.8125,11.392507553100586
2000-04-06,22.875,10.94398307800293
2000-04-07,23.09375,11.048641204833984
2000-04-10,22.5,10.764573097229004
2000-04-11,23.59375,11.287853240966797
2000-04-12,24.25,11.601820945739746
2000-04-13,23.625,11.302800178527832
2000-04-14,23.5,11.243000984191895
2000-04-17,24.25,11.601820945739746
