variant,fold,year,return_pct,sharpe,max_drawdown,turnover_l1_mean,stock_turnover_l1_mean,transaction_cost_mean,cash_weight_mean,projection_residual_l1_mean,benchmark_return_pct,benchmark_sharpe,benchmark_max_drawdown,run_dir,return_minus_benchmark,sharpe_minus_benchmark,drawdown_minus_benchmark,beats_return,beats_sharpe,drawdown_better,mean_approx_kl,p95_approx_kl,max_approx_kl,mean_clip_fraction,p95_clip_fraction,max_clip_fraction,early_stop_rate,mean_value_loss
flat_dirichlet_p,fold_2018,2018,0.0205100917895044,0.2048691748656573,-0.1601384887808262,0.0183807841863874,0.0142786699878832,1.4278669987883267e-05,0.0415614593327045,1.3433698597964394e-16,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_p\fold_2018\weight_based_initial_grid\flat_dirichlet_p\fold_2018,-0.012958693066274403,-0.0714682895991009,-8.705762743099754e-05,False,False,False,0.004090510594036603,0.008542981767095536,0.0110291794408112,0.14063380429154482,0.29605712890624997,0.3544921875,0.0,2.4140610538993257
flat_dirichlet_p,fold_2019,2019,0.267101303733374,2.211027360844557,-0.0580608187060616,0.0147559824263785,0.0107194653630598,1.071946536305984e-05,0.0428652859689942,1.3197720915240282e-16,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_p\fold_2019\weight_based_initial_grid\flat_dirichlet_p\fold_2019,-0.02237794623308953,0.03562823263375581,0.0009640710867942007,False,True,True,0.004289012185251226,0.008843430218985255,0.0129244094714522,0.1490109687195419,0.30137125651041663,0.35546875,0.0,2.4543998317574474
flat_dirichlet_p,fold_2020,2020,0.1566773995400729,0.6045913555230568,-0.3088388632916964,0.0186413280776533,0.0145098770057674,1.4509877005767442e-05,0.0450278158846592,1.389017868978572e-16,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_p\fold_2020\weight_based_initial_grid\flat_dirichlet_p\fold_2020,0.002603872934195006,0.02070374446830292,0.020319799880276213,True,True,True,0.0041369753791449795,0.008524588838918068,0.012184654129669,0.14430025632386084,0.291015625,0.3505859375,0.0,2.5467005893221426
flat_dirichlet_p,fold_2021,2021,0.1763421689852993,1.48432899822886,-0.0616210272105118,0.0204401782845101,0.0162096872841309,1.6209687284130988e-05,0.0402877336419911,1.3832519127465262e-16,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_p\fold_2021\weight_based_initial_grid\flat_dirichlet_p\fold_2021,-0.03034358918911148,-0.1746280774102984,0.0007938361052128029,False,False,True,0.003960368074820471,0.008419816405512344,0.0108654035720974,0.13274617037113182,0.28515625,0.349609375,0.0,2.7296629323007586
flat_dirichlet_pd,fold_2018,2018,0.0200962453910131,0.2026480663229149,-0.1548025789178888,0.0198947860233963,0.0157680268813083,1.5768026881308373e-05,0.040936048746109,6.604153186787666e-05,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pd\fold_2018\weight_based_initial_grid\flat_dirichlet_pd\fold_2018,-0.013372539464765704,-0.0736893981418433,0.005248852235506418,False,False,True,0.004070876221113236,0.008681664057075893,0.0114368707872927,0.1419413605628655,0.29340006510416666,0.36279296875,0.0,4.807088983477585
flat_dirichlet_pd,fold_2019,2019,0.2647893356927915,2.195429464911338,-0.0585516354034729,0.0144713925464782,0.0105312045148639,1.053120451486398e-05,0.040197426646176,6.573438512208787e-05,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pd\fold_2019\weight_based_initial_grid\flat_dirichlet_pd\fold_2019,-0.02468991427367201,0.020030336700537,0.00047325438938290026,False,True,True,0.0041445728316266105,0.009189656941452934,0.0126651581376791,0.1423528422156737,0.29971923828124997,0.3564453125,0.0,4.929514823496176
flat_dirichlet_pd,fold_2020,2020,0.168949895698836,0.6268817855200525,-0.3190187323870485,0.0228147044398689,0.0179775417676763,1.797754176767636e-05,0.0397888049039812,6.526062452298302e-05,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pd\fold_2020\weight_based_initial_grid\flat_dirichlet_pd\fold_2020,0.014876369092958114,0.04299417446529863,0.010139930784924145,True,True,True,0.004068004252740995,0.008729880827013385,0.0125668682157993,0.14242161087125366,0.30023600260416666,0.37109375,0.0,5.114542643760127
flat_dirichlet_pd,fold_2021,2021,0.1838030204911149,1.5476605590710315,-0.0579164040934688,0.0188873164772228,0.0145104569839925,1.451045698399251e-05,0.0462112438779665,6.56467171536862e-05,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pd\fold_2021\weight_based_initial_grid\flat_dirichlet_pd\fold_2021,-0.02288273768329588,-0.111296516568127,0.0044984592222558,False,False,True,0.003949268952257781,0.008834743557963487,0.0119832525961101,0.13067858958104897,0.291015625,0.337158203125,0.0,5.402385930209181
flat_dirichlet_pi,fold_2018,2018,0.0166496077253723,0.1828277062358125,-0.1540002365231523,0.0179173448579779,0.0136558436732051,1.3655843673205191e-05,0.0388212300240993,0.0471661351024695,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pi\fold_2018\weight_based_initial_grid\flat_dirichlet_pi\fold_2018,-0.016819177130406503,-0.09350975822894572,0.006051194630242895,False,False,True,0.00398171306558817,0.008245904836803587,0.0118012554012238,0.1394570631358126,0.28800048828124997,0.331298828125,0.0,1.7390643503661665
flat_dirichlet_pi,fold_2019,2019,0.2609478790554986,2.1654520293810733,-0.0568985791110485,0.0137384709500276,0.0096271950755199,9.62719507551992e-06,0.0381602540675298,0.0473967181832924,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pi\fold_2019\weight_based_initial_grid\flat_dirichlet_pi\fold_2019,-0.028531370910964915,-0.009947098829727885,0.0021263106818072974,False,False,True,0.004195629479627321,0.008664122468326214,0.0125974814873188,0.14488199393884013,0.29535319010416666,0.3505859375,0.0,1.76918865397079
