policy,family,behavioral_complexity,cash_entropy,book_dispersion,action_eff_dim,simulatability_cash_K9,completeness_stance_K9,completeness_selection_K9,pareto_stance_auc,pareto_selection_auc,clustering_stability_proxy_K9,crystalscore_core,crystalscore_core_nostab,full_crystalscore_R6c_only,n_steps,notes
R6c,R6c (root_split_beta_dirichlet),0.3579,0.8967,0.096,0.0809,0.244,0.244,0.1409,0.1542,0.0878,0.619,0.1511,0.244,0.1511,289,reused verbatim from crystal_score_report.json; full CrystalScore incl. Faithfulness=1.0 (R6c-only steering)
R6c+_latent_relabel_off,R6c+ latent-action (gaussian_logits),0.3785,0.91,0.1137,0.1119,0.1684,0.1684,0.0829,0.0949,0.0624,0.4116,0.0693,0.1684,,289,replayed frozen 2022-2023; CrystalScore-core only (Faithfulness/Controllability are R6c-only)
R6c+_latent_relabel_on,R6c+ latent-action (gaussian_logits),0.3109,0.7152,0.1703,0.0472,0.3732,0.3732,0.0757,0.2442,0.0668,0.3958,0.1477,0.3732,,289,replayed frozen 2022-2023; CrystalScore-core only (Faithfulness/Controllability are R6c-only)
R6c_vol0,R6c vol_excess (root_split_beta_dirichlet),0.349,0.8805,0.0791,0.0875,0.192,0.192,0.0592,0.2131,0.0623,0.2845,0.0546,0.192,,289,replayed frozen 2022-2023; CrystalScore-core only (Faithfulness/Controllability are R6c-only)
R6c_vol05,R6c vol_excess (root_split_beta_dirichlet),0.3583,0.9162,0.0816,0.077,0.1821,0.1821,0.0619,0.2293,0.0614,0.2851,0.0519,0.1821,,289,replayed frozen 2022-2023; CrystalScore-core only (Faithfulness/Controllability are R6c-only)
R6c_vol10,R6c vol_excess (root_split_beta_dirichlet),0.354,0.8986,0.0788,0.0847,0.2813,0.2813,0.1556,0.0965,0.0796,0.368,0.1035,0.2813,,289,replayed frozen 2022-2023; CrystalScore-core only (Faithfulness/Controllability are R6c-only)
