K,completeness_stance_cash,completeness_selection_withinbook,completeness_selection_rawW_exposure_confounded,crystalscore_stance_at_K,crystalscore_selection_at_K
2,0.07316206836104966,0.024256656322633297,0.005046746039334193,0.04528732031548974,0.01501487026371001
3,0.2041318422820808,0.038871745061551666,0.00415229913184656,0.126357610372608,0.02406161019310048
4,0.1745174635397866,0.054563419957499026,0.00873521488128659,0.1080263099311279,0.0337747569536919
5,0.11751235891967804,0.04976905298339096,0.22298108578284614,0.0727401501712807,0.030807043796719003
6,0.1775366372608047,0.07253852125012827,0.14822757485779892,0.10989517846443811,0.0449013446538294
7,0.12820740788766294,0.13844278976034452,0.16454361816189322,0.07936038548246335,0.08569608686165325
8,0.11877780312444353,0.1776824390471744,0.27769999575335025,0.07352346013403054,0.10998542977020095
9,0.24403820693933165,0.14094319234218322,0.33988114649166257,0.15105965009544628,0.08724383605981141
