K,complexity_captured_stance,crystalscore_stance,complexity_captured_selection,crystalscore_selection
2,0.07316206836104966,0.0453,0.024256656322633297,0.015
3,0.2041318422820808,0.1264,0.038871745061551666,0.0241
4,0.1745174635397866,0.108,0.054563419957499026,0.0338
5,0.11751235891967804,0.0727,0.04976905298339096,0.0308
6,0.1775366372608047,0.1099,0.07253852125012827,0.0449
7,0.12820740788766294,0.0794,0.13844278976034452,0.0857
8,0.11877780312444353,0.0735,0.1776824390471744,0.11
9,0.24403820693933165,0.1511,0.14094319234218322,0.0872
